material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-1217893,TaNbAl6,"Al, Nb, Ta",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.036055512754639925,Ta: 0.1250; Nb: 0.1250; Al: 0.7500
mp-1224173,HfZn2Ga,"Ga, Hf, Zn",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.18646380345793656,Hf: 0.2500; Zn: 0.5000; Ga: 0.2500
mp-1217015,TiAl2V,"Al, Ti, V",3,0.023320597916669072,Tetragonal,123,P4/mmm,0.0,True,True,0.034186985827943335,Ti: 0.2500; Al: 0.5000; V: 0.2500
mp-1218140,TaAl4Ni15,"Al, Ni, Ta",3,0.005408968499999389,Tetragonal,123,P4/mmm,0.0,True,True,0.1411550565867195,Ta: 0.0500; Al: 0.2000; Ni: 0.7500
mp-639659,InCuPt2,"Cu, In, Pt",3,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.2240535650240807,In: 0.2500; Cu: 0.2500; Pt: 0.5000
mp-1207127,CuSnPd2,"Cu, Pd, Sn",3,0.06613828374999997,Tetragonal,123,P4/mmm,0.0,True,True,0.13665650368716462,Cu: 0.2500; Sn: 0.2500; Pd: 0.5000
mp-1224993,FeCoPt2,"Co, Fe, Pt",3,0.04885977208333525,Tetragonal,123,P4/mmm,0.0,True,True,0.21323402636539968,Fe: 0.2500; Co: 0.2500; Pt: 0.5000
mp-1025229,TiGa5Co,"Co, Ga, Ti",3,0.009694247500000586,Tetragonal,123,P4/mmm,0.0,True,True,0.10147886077244593,Ti: 0.1429; Ga: 0.7143; Co: 0.1429
mp-1222424,Li3Tl2Cd,"Cd, Li, Tl",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.3324864241171694,Li: 0.5000; Tl: 0.3333; Cd: 0.1667
mp-1218003,TaAl2Ni9,"Al, Ni, Ta",3,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.14806858395877073,Ta: 0.0833; Al: 0.1667; Ni: 0.7500
mp-1224331,Hf4AgPd,"Ag, Hf, Pd",3,0.0020798783333333404,Tetragonal,123,P4/mmm,0.0,True,True,0.3689512162874653,Hf: 0.6667; Ag: 0.1667; Pd: 0.1667
mp-1215438,Zn2CuNi,"Cu, Ni, Zn",3,0.009078507499999944,Tetragonal,123,P4/mmm,0.0,True,True,0.12754901018824097,Zn: 0.5000; Cu: 0.2500; Ni: 0.2500
mp-570863,CrCoPt2,"Co, Cr, Pt",3,0.03671428916666919,Tetragonal,123,P4/mmm,0.0,False,True,0.2665989497353656,Cr: 0.2500; Co: 0.2500; Pt: 0.5000
