material_id,formula,elements,theoretical,valence_info
mp-977207,Li2Mg,"Li, Mg",True,"Li: 2 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094853,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-976944,Li5Mg,"Li, Mg",True,"Li: 5 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094576,Li2Mg,"Li, Mg",True,"Li: 2 (Valence: 1), Mg: 1 (Valence: 2)"
mp-976244,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094575,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094573,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-976885,Li2Mg,"Li, Mg",True,"Li: 2 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094607,Li2Mg,"Li, Mg",True,"Li: 2 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1185370,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-976843,Li2Mg,"Li, Mg",True,"Li: 2 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094594,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1185380,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094592,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094568,LiMg,"Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2)"
mp-1094598,Li3Mg,"Li, Mg",True,"Li: 3 (Valence: 1), Mg: 1 (Valence: 2)"
